风格名称,lora名称,lora_weight,pt名称,before_prompt,after_prompt,negative_prompt,大模型,训练方式,任务类型,文生图生成器,图生图生成器
Vibrant Whimsy,childrenIllustration_SDXLIP_v0,1,childrenIllustration_SDXLIP_v0_ip_image_embeddings,,"Cartoon illustration, character illustration, character design style, brush stroke texture, childlike illustration style, animated character concept art, storybook illustration style, 2D game art style, in the style of 2d game art, naturalistic color palette","painting, redundant people, people, pastel, drawing, graphite, impressionism, noisy, blurry, stretched, soft, distorted, bad light, ugly, disfigured, realistic, anime, photography, cluttered, worst quality, low quality, signature, watermark, text, Poorly drawn hands, poorly drawn face, poor anatomy, poor proportions, extra limbs, cloned face, disfigurement, overall proportions, misshapen limbs, missing arms, missing legs",SDXL,,["Illustration Design"],SDXL-IP0.3,SDXL-IP0.3
Illustrative Nostalgia,classicIllustration_SDXLIP_v0,0.9,classicIllustration_SDXLIP_v0_ip_image_embeddings,,"high saturation color, sharpening, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K, J. C. Leyendecker style, classic illustration, the right shape","Weird outfit combination, redundant people, Weird and inappropriate clothes, Disconnected lines, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,,["Illustration Design"],SDXL-IP0.2,SDXL-IP0.2
Linear Cartoon,colorDraftIllustration_SDXLIP_v0,1,colorDraftIllustration_SDXLIP_v0_ip_image_embeddings,solo,"(white background:2.0), all body, beautiful eyes,  accurate skin tone, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K, accurate skin tone","wrong shape, (watermark:1.8), Blurred edges, text, low-quality, signature, strange frown, Weird and inappropriate clothes, Disconnected lines, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Character Design"],SDXL-IP0.4,SDXL-IP0.4
Cute Exaggeration,pixar_SDXLIP_v0,1,pixar_SDXLIP_v0_ip_image_embeddings,"(pixar style:1.7), solo","(white background:2.0), ( full body:2), beautiful eyes,  high saturation color, beautiful eyes,  Ultra high definition quality, best quality, soft lighting, 4K,  exact proportions, normal proportions, accurate expression, Place it in a centered position.","(watermark:1.8), small eyes,  wrong human proportions, wrong limbs, (Wrinkled brows on the face:1.2), (strange expression:1.3), strange frown, Weird and inappropriate clothes, Disconnected lines, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Character Design"],SDXL-IP0.3,SDXL-IP0.3
Vivacious Figurine,avatarIcon_SDXLIP_v0,1,avatarIcon_SDXLIP_v0_ip_image_embeddings,front,"(bright white background:2.0), Avatar, (hair texture:1.7), appropriate avatar composition, (bright colors:1.2), smile, clay material, Accurate color, Delicate texture, perfect design,  perfect composition, masterpiece, high quality, best quality, realistic, best picture quality,  high detail, high resolution, 4K,  accurate expression,","(gray background:2.0),(black background:2.0) wrong hair color, Wrong clothes, Wrong color combination, black background, strange hairstyle, body, strange skin color,  signature, watermark, username, text, error, blurred edges, solid, low-quality, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, duplicate, error, beginner, fake, hyper, glitch,  overexposed, monochrome, skin spots, skin blemishe, mutated hands, blurry",Realistic,colossusProjectXLSFW,["Character Design"],SDXL-IP0.4,SDXL-IP0.4
Studio Portrait,studioPortraitPhotography_SDXLIP_v1,1,studioPortraitPhotography_SDXLIP_v1_ip_image_embeddings,"(Solid color background:1.1), soft light, studio lighting","exquisite and beautiful face, best quality, Masterpiece, 4K","buck teeth, perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Portrait Photography"],SDXL-IP0.4,SDXL-IP0.2
Linear Vivacity,role_SDXLIP_v0,1,role_SDXLIP_v0_ip_image_embeddings,"solo,"," (white background:2.0) , (all body:1.8), beautiful eyes, (shoe:0.4),  Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K, accurate skin tone, (white skin:0.3), Clean lines, pretty face","(black skin:0.4), wrong shape, (watermark:1.8), Blurred edges, text, low-quality, signature, strange frown, Weird and inappropriate clothes, Disconnected lines, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Character Design"],SDXL-IP0.4,SDXL-IP0.4
Vivid Stylization,azamat_SDXLIP_v0,1,azamat_SDXLIP_v0_ip_image_embeddings,"solo object, (pure white background:2.0),   full body, shoe, ","beautiful eyes,  Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K, accurate skin tone, Character design, At the center of the screen","Wrong skin color, wrong shape, Strange posture, (watermark:1.8), multiple , (gray background:1.6),  Blurred edges, text, low-quality, signature, strange frown, Weird and inappropriate clothes, Disconnected lines, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Character Design"],SDXL-IP0.4,SDXL-IP0.4
Storytime Whimsy,ame_SDXLIP_v0,1,ame_SDXLIP_v0_ip_image_embeddings,"signle , ( white background:2), Standing posture,"," character illustration, A small body, character design style, brush stroke texture, childlike illustration style, animated character concept art, storybook illustration style,  naturalistic color palette, ","Other colors background, Wrong limbs, The Extra Man, Strange weapon, Untimely accessories, Wrong skin color, wrong shape, Strange posture, (watermark:1.8), multiple , (gray background:1.6),  Blurred edges, text, low-quality, signature, strange frown, Weird and inappropriate clothes, Disconnected lines, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Character Design"],SDXL-IP0.3,SDXL-IP0.3
Dreamlike Portraiture,dreamPhotography_SDXLIP_v0,1,dreamPhotography_SDXLIP_v0_ip_image_embeddings,Soft lighting,"best quality, 4k, Realistic, surrealist: dreamlike imagery, valentine penrose, Oil painting sense, dreamy","Exposure, Blurry Eyes, smooth face, watermark, Non three-dimensional facial features, Blurred facial features, No sharpeness, puppet, Extra fingers, Low saturation color, smile, Watermark, blurred gaze, unreasonable pupils, blurred pupils, six fingers, anger, unreasonable fingers, unreasonable face, blurred image, Narrow shoulders, Big head, perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Portrait Photography"],SDXL-IP0.35,SDXL-IP0.35
Line & Wash,vintageIllustration_SDXLIP_v0,1,vintageIllustration_SDXLIP_v0_ip_image_embeddings," (light tone:1.1), (Printmaking:0.5), (pen pastels:0.8), ","line art, line style, masterpiece, best quality","moon, bad face, bad hands, extra person, person, graphite, noisy, blurry, stretched, soft, distorted, bad light, ugly, disfigured, realistic, anime, photography, clutter, worst quality, low quality, signature, Watermark, text, poorly drawn hand, poorly drawn elongated face, poor anatomy, poor proportions, extra limbs, cloned face, disfigurement, overall proportions, misshapen limbs, missing arms, missing legs",Realistic,colossusProjectXLSFW,["Illustration Design"],SDXL-IP0.3,SDXL-IP0.3
Felted Charm,feltElement_SDXLIP_v0,1,feltElement_SDXLIP_v0_ip_image_embeddings,"(Solid color background:1.3), (Felt material:1.5), soft lighting","best quality, Masterpiece, 4K, high resolution","perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,,["LOGO Design"],SDXL-IP0.65,SDXL-IP0.35
Makeup Vanguard,makeupMagazine_SDXLIP_v1,1,makeupMagazine_SDXLIP_v1_ip_image_embeddings,"(Half body photo:1.1), (Creative makeup:1.3), soft lighting","best quality, Masterpiece, 4K, high resolution","(hair appear on the face:2.0), (Short face:1.3), perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Portrait Photography"],SDXL-IP0.55,SDXL-IP0.2
Kiddie Palette,childrensDrawing_SDXLIP_v0,1,childrensDrawing_SDXLIP_v0_ip_image_embeddings,Children's simple strokes," (white background:1.2), best quality, Masterpiece, 4K, high resolution","(rouge:1.2), green face, blue face, (text:1.3), (watermark:1.3), perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,,["Illustration Design"],SDXL-IP0.55,SDXL-IP0.4
Cartoon Anime,2dCartoonAnime_SDXLIP_v0,1,2dCartoonAnime_SDXLIP_v0_ip_image_embeddings,,"(solid background:2.0), all body, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K, accurate skin tone","wrong shape, (watermark:1.8), Blurred edges, text, low-quality, signature, strange frown, Weird and inappropriate clothes, Disconnected lines, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed, mutated hands(poorly drawn hands: 1.5), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missingarms:1.331), (extra legs: 1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes: 1.331), lowers, bad hands missing fingers, extra digit, bad hands, missing fingers, (((extra arms and legs))),figurative facial features",SDXL,,["Character Design"],SDXL-IP0.5,SDXL-IP0.2
Commercial Portrait,commercialPortrait_SDXLIP_v1,1,commercialPortrait_SDXLIP_v1_ip_image_embeddings,"(Ultra high definition portrait:1.3), (Real skin texture:1.1), (Clear and visible pores:1.2), studio lighting","best quality, depth of field, Masterpiece, 4K, high resolution  ","dermabrasion, Narrow shoulders, Big head, perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Portrait Photography"],SDXL-IP0.5,SDXL-IP0.35
Luminous Portraiture,lightPortraitPhotography_SDXLIP_v0,1,lightPortraitPhotography_SDXLIP_v0_ip_image_embeddings,,"best quality, 4k, Realistic, vivid, clarity, Professional lighting photography, colorful lighting","Unreasonable lighting, Exposure, Blurry Eyes, watermark, smooth face, Non three-dimensional facial features, Blurred facial features, No sharpeness, puppet, Extra fingers, Low saturation color, Watermark, blurred gaze, unreasonable pupils, blurred pupils, six fingers, anger, unreasonable fingers, unreasonable face, blurred image, Narrow shoulders, Big head, perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Portrait Photography"],SDXL-IP0.5,SDXL-IP0.35
Fantasy Hero,asianComics_SDXLIP_v0,1,asianComics_SDXLIP_v0_ip_image_embeddings,,"full body, staring camera, eyes are bright, white background, game character, single character, masterpiece, extremely detailed face, extremely detailed clothing, fantasy, saturation, most detailed, 4K, highest resolution, best quality","Black background, bad eyes, wrong weapon shape, bad face, gray background, worst quality, low quality, monochrome, watermark, text, bad anatomy, bad hands, bad drawing hand, extra hand, extra fingers, too many fingers, fused fingers, bad arm, twisted arm, extra arm, fused arm, extra leg, missing leg, disembodied leg, separate Arms, liquid hands, inverted hands, disembodied limbs, oversized head, extra body, extra belly button, long neck",Realistic,colossusProjectXLSFW,["Character Design"],SDXL-IP0.25,SDXL-IP0.25
Serene Nature,surrealStaticPainting_SDXLIP_v0,1,surrealStaticPainting_SDXLIP_v0_ip_image_embeddings,,"ultrafine detail, hyper-realistic illustrations, american iconography, debbie criswell, calming symmetry, large-scale canvas, ultrafine detail, debbie, Plan Illustration","Blurry Eyes, Unreasonable house structure, Blurred facial features, watermark, puppet, Extra fingers, blurred gaze, unreasonable pupils, blurred pupils, six fingers, anger, unreasonable fingers, unreasonable face, blurred image, Narrow shoulders, Big head, perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Illustration Design"],SDXL-IP0.5,SDXL-IP0.25
Joyful Playthings,toyIcon_SDXLIPHP_v0,1,toyIcon_SDXLIPHP_v0_ip_image_embeddings,(solid color background:1.8),"icon, best quality, Masterpiece, 4K, high resolution","perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["LOGO Design"],SDXL-HPIP0.55,SDXL-HPIP0.3
Playful Seaside,beachHolidayIcon_SDXLIPHP_v0,1,beachHolidayIcon_SDXLIPHP_v0_ip_image_embeddings,(solid color background:1.5),"icon, best quality, Masterpiece, 4K, high resolution","perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["LOGO Design"],SDXL-IP0.55,SDXL-IP0.35
Chromatic Vibrance,whimsy_SDXLIPHP_v0,1,whimsy_SDXLIPHP_v0_ip_image_embeddings,,"high saturation color, best quality, Masterpiece, 4K, high resolution","Short line, bad line, perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Illustration Design"],SDXL-HPIP0.55,SDXL-HPIP0.35
Mystical Sovereignty,wushen_SDXLIPHP_V0,0.4,wushen_SDXLIPHP_V0_ip_image_embeddings,"(pure white background:2.0), "," full body, Game art style, Ultra high definition quality, Game Characters, Exquisite texture, Masterpiece, best quality, 4K, accurate skin tone,, At the center of the screen, (Oil Painting:0.5),  Uniform color tone of clothing, "," wrong weapon shape, wrong eyes, gray background, worst quality, low quality, monochrome, watermark, text, bad anatomy, bad hands, bad drawing hand, extra hand, extra fingers, too many fingers, fused fingers, bad arm, twisted arm, extra arm, fused arm, extra leg, missing leg, disembodied leg, separate Arms, liquid hands, inverted hands, disembodied limbs, oversized head, extra body, extra belly button, long neck",Realistic,colossusProjectXLSFW,["Character Design"],SDXL-HPIP0.2,SDXL-HPIP0.2
Ethereal Enchantments,flatLighting_SDXLIPHP_v0,1,flatLighting_SDXLIPHP_v0_ip_image_embeddings,,"High saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K",no,SDXL,,["Illustration Design"],SDXL-HPIP0.35,SDXL-HPIP0.35
Nouveau Classic,muchaIllustrations_SDXLIPHP_v0,0.7,muchaIllustrations_SDXLIPHP_v0_ip_image_embeddings,,"(low saturation:0.8), vintage, (light tone:1.1), (Printmaking:0.5), (pen pastels:0.8), line art, line style,Neoclassicism, detailed art, masterpiece, best quality","(bad face:1.7), bad hands, extra person, person, graphite, noisy, blurry, stretched, soft, distorted, bad light, ugly, disfigured, realistic, anime, photography, clutter, worst quality, low quality, signature, Watermark, text, poorly drawn hand, poorly drawn elongated face, poor anatomy, poor proportions, extra limbs, cloned face, disfigurement, overall proportions, misshapen limbs, missing arms, missing legs",Realistic,colossusProjectXLSFW,["Illustration Design"],SDXL-HPIP0.2,SDXL-HPIP0.2
Apocalyptic Photography,apocalyptic_SDXLIPHP_v0,1,apocalyptic_SDXLIPHP_v0_ip_image_embeddings,,"Rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K ","Unreasonable fingers, Multiple fingers, bad fingers, bad face, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-HPIP0.4,SDXL-HPIP0.35
Tropical Pop,tropicalStyle_SDXLIPHP_v0,0.8,tropicalStyle_SDXLIPHP_v0_ip_image_embeddings,(white background:2.0)," logo, Vector illustration, tropical, detailed composition, in the style of pop art cartoons, realistic, high contrast, color intensity, pop art cartoon style, classic tattoo pattern, hand coloring, color comics, cartoon composition style, strong graphic elements, cartoon realism, high quality photo , graphic illustrations","(Black background:1.8), (bad face:1.7), Palm tree, bad hands, extra person, person, graphite, noisy, blurry, stretched, soft, distorted, bad light, ugly, disfigured, realistic, anime, photography, clutter, worst quality, low quality, signature, Watermark, text, poorly drawn hand, poorly drawn elongated face, poor anatomy, poor proportions, extra limbs, cloned face, disfigurement, overall proportions, misshapen limbs, missing arms, missing legs",Realistic,,["Illustration Design"],SDXL-HPIP0.2,SDXL-HPIP0.2
Pure Easiness,conciseIcon_SDXLIPHP_v0,1,conciseIcon_SDXLIPHP_v0_ip_image_embeddings,"(solid color background:1.5), (white background:1.5)","icon, best quality, Masterpiece, 4K, high resolution","perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["LOGO Design"],SDXL-HPIP0.55,SDXL-HPIP0.5
Flamenco Dance,colorfulRhythm_SDXLIPHP_v0,1,colorfulRhythm_SDXLIPHP_v0_ip_image_embeddings,High saturation color,"Rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Broken hands and feet, Unreasonable fingers, Broken wires, perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed, repeat",SDXL,,["Illustration Design"],SDXL-HPIP0.5,SDXL-HPIP0.4
Innocent Cutie,joyfulCartoon_SDXLIPHP_v0,1,joyfulCartoon_SDXLIPHP_v0_ip_image_embeddings,," high saturation color, rich colors, Ultra high definition quality,  best quality, soft lighting, 4K ","Multiple fingers, bad fingers, bad face,Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-HPIP0.4,SDXL-HPIP0.35
Gothic Punk,punkStyle_SDXLIPHP_v0,0.9,punkStyle_SDXLIP_v0_ip_image_embeddings,,"Ultra high definition quality, Masterpiece, soft lighting, 4K","(White background:1.8), (bad face:1.7), Palm tree, bad hands, extra person, person, graphite, noisy, blurry, stretched, soft, distorted, bad light, ugly, disfigured, realistic, anime, photography, clutter, worst quality, low quality, signature, Watermark, text, poorly drawn hand, poorly drawn elongated face, poor anatomy, poor proportions, extra limbs, cloned face, disfigurement, overall proportions, misshapen limbs, missing arms, missing legs",Realistic,colossusProjectXLSFW,["Illustration Design"],SDXL-HPIP0.4,SDXL-HPIP0.4
